Status,Trace,Trace Length,Estimated Value
SUCCESS,Trace 1,94,0.0
FAIL,Trace 1,196,0.0
SUCCESS,Trace 1,118,0.0
FAIL,Trace 1,196,0.0
SUCCESS,Trace 1,118,0.0
SUCCESS,Trace 1,286,0.0
FAIL,Trace 1,118,0.0
FAIL,Trace 1,142,0.0
FAIL,Trace 1,112,0.0
SUCCESS,Trace 1,94,0.0
FAIL,Trace 1,82,0.0
SUCCESS,Trace 1,70,0.0
FAIL,Trace 1,118,0.0
SUCCESS,Trace 1,94,0.0
FAIL,Trace 1,214,0.0
FAIL,Trace 1,118,0.0
FAIL,Trace 1,124,0.0
SUCCESS,Trace 1,130,0.0
SUCCESS,Trace 1,94,0.0
FAIL,Trace 1,262,0.0
FAIL,Trace 1,268,0.0
FAIL,Trace 1,142,0.0
SUCCESS,Trace 1,154,0.0
SUCCESS,Trace 1,106,0.0
SUCCESS,Trace 1,118,0.0
FAIL,Trace 1,202,0.0
SUCCESS,Trace 1,106,0.0
SUCCESS,Trace 1,178,0.0
FAIL,Trace 1,302,0.0
FAIL,Trace 1,214,0.0
FAIL,Trace 1,130,0.0
FAIL,Trace 1,94,0.0
SUCCESS,Trace 1,130,0.0
SUCCESS,Trace 1,94,0.0
FAIL,Trace 1,302,0.0
SUCCESS,Trace 1,82,0.0
FAIL,Trace 1,226,0.0
SUCCESS,Trace 1,82,0.0
SUCCESS,Trace 1,106,0.0
FAIL,Trace 1,166,0.0
SUCCESS,Trace 1,82,0.0
FAIL,Trace 1,196,0.0
SUCCESS,Trace 1,106,0.0
FAIL,Trace 1,94,0.0
SUCCESS,Trace 1,106,0.0
SUCCESS,Trace 1,142,0.0
SUCCESS,Trace 1,118,0.0
SUCCESS,Trace 1,118,0.0
FAIL,Trace 1,88,0.0
SUCCESS,Trace 1,106,0.0
SUCCESS,Trace 1,106,0.0
SUCCESS,Trace 1,106,0.0
SUCCESS,Trace 1,190,0.0
FAIL,Trace 1,94,0.0
FAIL,Trace 1,292,0.0
FAIL,Trace 1,94,0.0
SUCCESS,Trace 1,70,0.0
SUCCESS,Trace 1,202,0.0
SUCCESS,Trace 1,106,0.0
FAIL,Trace 1,106,0.0
SUCCESS,Trace 1,94,0.0
SUCCESS,Trace 1,70,0.0
FAIL,Trace 1,94,0.0
FAIL,Trace 1,130,0.0
SUCCESS,Trace 1,106,0.0
FAIL,Trace 1,106,0.0
FAIL,Trace 1,94,0.0
SUCCESS,Trace 1,94,0.0
FAIL,Trace 1,302,0.0
SUCCESS,Trace 1,106,0.0
SUCCESS,Trace 1,94,0.0
SUCCESS,Trace 1,262,0.0
SUCCESS,Trace 1,106,0.0
SUCCESS,Trace 1,94,0.0
SUCCESS,Trace 1,106,0.0
SUCCESS,Trace 1,94,0.0
FAIL,Trace 1,142,0.0
FAIL,Trace 1,118,0.0
SUCCESS,Trace 1,82,0.0
FAIL,Trace 1,106,0.0
FAIL,Trace 1,130,0.0
FAIL,Trace 1,130,0.0
SUCCESS,Trace 1,82,0.0
FAIL,Trace 1,262,0.0
SUCCESS,Trace 1,94,0.0
SUCCESS,Trace 1,130,0.0
SUCCESS,Trace 1,82,0.0
SUCCESS,Trace 1,82,0.0
SUCCESS,Trace 1,106,0.0
FAIL,Trace 1,184,0.0
FAIL,Trace 1,196,0.0
SUCCESS,Trace 1,166,0.0
SUCCESS,Trace 1,130,0.0
SUCCESS,Trace 1,94,0.0
FAIL,Trace 1,214,0.0
FAIL,Trace 1,106,0.0
FAIL,Trace 1,94,0.0
SUCCESS,Trace 1,94,0.0
SUCCESS,Trace 1,94,0.0
SUCCESS,Trace 1,70,0.0
FAIL,Trace 1,118,0.0
FAIL,Trace 1,94,0.0
FAIL,Trace 1,130,0.0
FAIL,Trace 1,94,0.0
FAIL,Trace 1,88,0.0
SUCCESS,Trace 1,82,0.0
FAIL,Trace 1,202,0.0
FAIL,Trace 1,100,0.0
FAIL,Trace 1,118,0.0
FAIL,Trace 1,106,0.0
SUCCESS,Trace 1,82,0.0
SUCCESS,Trace 1,94,0.0
SUCCESS,Trace 1,202,0.0
FAIL,Trace 1,106,0.0
SUCCESS,Trace 1,130,0.0
SUCCESS,Trace 1,106,0.0
SUCCESS,Trace 1,94,0.0
SUCCESS,Trace 1,202,0.0
FAIL,Trace 1,298,0.0
SUCCESS,Trace 1,82,0.0
FAIL,Trace 1,190,0.0
SUCCESS,Trace 1,94,0.0
FAIL,Trace 1,190,0.0
FAIL,Trace 1,130,0.0
FAIL,Trace 1,154,0.0
FAIL,Trace 1,88,0.0
FAIL,Trace 1,94,0.0
SUCCESS,Trace 1,94,0.0
FAIL,Trace 1,106,0.0
FAIL,Trace 1,302,0.0
FAIL,Trace 1,220,0.0
SUCCESS,Trace 1,118,0.0
SUCCESS,Trace 1,130,0.0
FAIL,Trace 1,94,0.0
FAIL,Trace 1,106,0.0
SUCCESS,Trace 1,118,0.0
FAIL,Trace 1,226,0.0
FAIL,Trace 1,124,0.0
FAIL,Trace 1,118,0.0
FAIL,Trace 1,196,0.0
FAIL,Trace 1,118,0.0
FAIL,Trace 1,178,0.0
FAIL,Trace 1,82,0.0
FAIL,Trace 1,166,0.0
SUCCESS,Trace 1,106,0.0
FAIL,Trace 1,172,0.0
FAIL,Trace 1,302,0.0
FAIL,Trace 1,178,0.0
FAIL,Trace 1,76,0.0
SUCCESS,Trace 1,82,0.0
FAIL,Trace 1,124,0.0
SUCCESS,Trace 1,226,0.0
FAIL,Trace 1,88,0.0
SUCCESS,Trace 1,82,0.0
SUCCESS,Trace 1,82,0.0
SUCCESS,Trace 1,166,0.0
SUCCESS,Trace 1,238,0.0
FAIL,Trace 1,118,0.0
FAIL,Trace 1,94,0.0
SUCCESS,Trace 1,106,0.0
SUCCESS,Trace 1,10,0.0
SUCCESS,Trace 1,178,0.0
SUCCESS,Trace 1,142,0.0
FAIL,Trace 1,94,0.0
FAIL,Trace 1,202,0.0
FAIL,Trace 1,94,0.0
FAIL,Trace 1,94,0.0
FAIL,Trace 1,136,0.0
FAIL,Trace 1,118,0.0
SUCCESS,Trace 1,94,0.0
FAIL,Trace 1,118,0.0
FAIL,Trace 1,106,0.0
SUCCESS,Trace 1,118,0.0
FAIL,Trace 1,112,0.0
SUCCESS,Trace 1,82,0.0
SUCCESS,Trace 1,106,0.0
SUCCESS,Trace 1,94,0.0
FAIL,Trace 1,256,0.0
SUCCESS,Trace 1,94,0.0
FAIL,Trace 1,302,0.0
SUCCESS,Trace 1,82,0.0
FAIL,Trace 1,88,0.0
FAIL,Trace 1,142,0.0
SUCCESS,Trace 1,178,0.0
FAIL,Trace 1,112,0.0
SUCCESS,Trace 1,190,0.0
FAIL,Trace 1,166,0.0
SUCCESS,Trace 1,118,0.0
FAIL,Trace 1,268,0.0
FAIL,Trace 1,154,0.0
SUCCESS,Trace 1,94,0.0
FAIL,Trace 1,178,0.0
SUCCESS,Trace 1,10,0.0
SUCCESS,Trace 1,286,0.0
FAIL,Trace 1,94,0.0
FAIL,Trace 1,94,0.0
SUCCESS,Trace 1,130,0.0
SUCCESS,Trace 1,82,0.0
FAIL,Trace 1,232,0.0
SUCCESS,Trace 1,94,0.0
SUCCESS,Trace 1,106,0.0
SUCCESS,Trace 1,106,0.0
FAIL,Trace 1,202,0.0
FAIL,Trace 1,82,0.0
FAIL,Trace 1,94,0.0
SUCCESS,Trace 1,94,0.0
FAIL,Trace 1,292,0.0
FAIL,Trace 1,142,0.0
SUCCESS,Trace 1,106,0.0
SUCCESS,Trace 1,178,0.0
FAIL,Trace 1,94,0.0
SUCCESS,Trace 1,118,0.0
FAIL,Trace 1,94,0.0
SUCCESS,Trace 1,142,0.0
SUCCESS,Trace 1,94,0.0
SUCCESS,Trace 1,154,0.0
FAIL,Trace 1,106,0.0
SUCCESS,Trace 1,178,0.0
FAIL,Trace 1,184,0.0
FAIL,Trace 1,118,0.0
SUCCESS,Trace 1,226,0.0
SUCCESS,Trace 1,130,0.0
FAIL,Trace 1,208,0.0
FAIL,Trace 1,112,0.0
FAIL,Trace 1,268,0.0
